SL No,Root Author,Root Author Aff,Root phd year,Scholar Link Link,Advisor,Adv aff,Avd phd year
103,Ibrahim Muter,Sabanci University,2011,https://scholar.google.com/citations?hl=en&user=f5JdNQEAAAAJ,Ilker S. Birbil,North Carolina State University,2002
104,Raghava Mutharaju,Wright State University, 2016,https://scholar.google.com/citations?hl=en&user=69pEM_YAAAAJ,Pascal Hitzler,University College Cork ,2001
105,Pradeep Muthukrishnan,University of Michigan ,2011,https://scholar.google.com/citations?hl=en&user=J6207_8AAAAJ,Dragomir Radkov Radev,Columbia University ,1999
106,Siddharth Muthu Krishnan,University of Southern California ,2018,https://scholar.google.com/citations?hl=en&user=e-7on_IAAAAJ,Daniel A. Lidar,Hebrew University of Jerusalem ,1997
107,,,,,Tameem Albash,University of Southern California ,2010
108,Matt Mutka,University of Wisconsin-Madison,1988,https://scholar.google.com/citations?hl=en&user=wtUJnOcAAAAJ,Miron Livny,Weizmann Institute of Science ,1984
109,Jan Mutl,University of Maryland College Park ,2006,https://scholar.google.com/citations?hl=en&user=4weAtQgAAAAJ,John Chung Chao,Yale University ,1994
110,,,,,Ingmar R. Prucha,Technische Universität Wien ,1977
111,Onur Mutlu,University of Texas at Austin ,2006,https://scholar.google.com/citations?hl=en&user=7XyGUGkAAAAJ,Yale Nance Patt,Stanford University ,1966
112,Madhu Mutyam,"Indian Institute of Technology, Madras", 2003,https://scholar.google.com/citations?hl=en&user=HS4VEdYAAAAJ,Kamala Krithivasan,University of Madras ,1974
113,Torsten Mütze,ETH Zürich, 2011,https://scholar.google.com/citations?hl=en&user=9232pxwAAAAJ,Angelika Steger,Rheinische Friedrich-Wilhelms-Universität Bonn ,1990
114,Petra Mutzel,Universität zu Köln ,1994,https://scholar.google.com/citations?hl=en&user=XIaaJv8AAAAJ,Michael Jünger,Universität Augsburg ,1983
115,Jogesh K. Muppala,Duke University ,1991,https://scholar.google.com/citations?hl=en&user=cG0My4kAAAAJ,Kishor Shridharbhai Trivedi,University of Illinois at Urbana-Champaign ,1974
116,Pham Quy Muoi,Universität Bremen ,2012,https://scholar.google.com/citations?hl=en&user=AZ-yLQQAAAAJ,Peter Maaß,Technische Universität Berlin, 1988
117,,,,,Dinh Nho Hao,Freie Universität Berlin ,1991
118,Kevin J. Mumford,Stanford University, 2007,https://scholar.google.com/citations?hl=en&user=EkWVaRkAAAAJ,Michael Jay Boskin,"University of California, Berkeley ",1971
119,Jonathan Mummolo,Stanford University ,2017,https://scholar.google.com/citations?hl=en&user=jKuV9U4AAAAJ,Justin Ryan Grimmer,Harvard University, 2010
120,Saadia Mumtaz,University of the Punjab ,2018,https://scholar.google.com/citations?hl=en&user=HUDSM6UAAAAJ,https://scholar.google.com/citations?hl=en&user=HUDSM6UAAAAJ,Quaid-i-Azam University ,1992
121,Nermina Mujakovic,University of Zagreb ,1998,https://scholar.google.com/citations?hl=en&user=58A53coAAAAJ,Ibrahim Aganović,University of Zagreb, 1965
122,Naida Mujić,University of Sarajevo, 2018,https://scholar.google.com/citations?hl=en&user=aaxFMMoAAAAJ,Mustafa R. S. Kulenović,University of Sarajevo, 1981
123,Vai-Lam Mui,"University of California, Berkeley ",1992,https://scholar.google.com/citations?hl=en&user=cpLomTwAAAAJ,George Arthur Akerlof,Massachusetts Institute of Technology ,1966
124,,,,,Oliver Eaton Williamson,Carnegie Mellon University, 1963
125,Ellen Muir,University of Melbourne ,2017,https://scholar.google.com/citations?hl=en&user=KJa8dgoAAAAJ,Peter Gerrard Taylor,University of Adelaide ,1987
126,Steve Muir,University of Pennsylvania , 2001,https://scholar.google.com/citations?hl=en&user=WviRXegAAAAJ,Jonathan Michael Smith,Columbia University, 1989
127,Stephen Muirhead,University College London ,2016,https://scholar.google.com/citations?hl=en&user=zihqpdEAAAAJ,Nadia Sidorova,Universität Kaiserslautern, 2003
128,"Jerry R. Muir, Jr.",University of Kentucky ,1999,https://scholar.google.com/citations?hl=en&user=DPmtAzoAAAAJ,Ted Joe Suffridge,University of Kansas, 1965
129,Christian Muise,University of Toronto,2014,https://scholar.google.com/citations?hl=en&user=HUzuGj8AAAAJ,Sheila A. McIlraith,University of Toronto ,1997
130,,,,,Christopher Beck,University of Toronto, 1999 
131,Boris Muha,University of Zagreb ,2010,https://scholar.google.com/citations?hl=en&user=wzO9AHkAAAAJ,Zvonimir Tutek,University of Zagreb ,1982
132,Roby Muhamad,Columbia University ,2010 ,https://scholar.google.com/citations?hl=en&user=6Eb1FpsAAAAJ,Duncan James Watts,Cornell University, 1997
133,Abubakr Muhammad,Georgia Institute of Technology, 2005,https://scholar.google.com/citations?hl=en&user=I8BnID0AAAAJ,Magnus B. Egerstedt,Kungliga Tekniska Högskolan ,2000
134,Noryanti Muhammad,University of Durham, 2016,https://scholar.google.com/citations?hl=en&user=hGQDkd4AAAAJ,Franciscus (Frank) Petrus Antonius Coolen,Technische Universiteit Eindhoven, 1994
135,,,,,Tahani A. Coolen-Maturi,University of Durham, 2010
136,Gero Mühl,Technische Universität Darmstadt ,2002,https://scholar.google.com/citations?hl=en&user=sIbWic8AAAAJ,Alejandro P. Buchmann,University of Texas at Austin,1980
137,Johannes Muhle-Karbe,Technische Universität München, 2009,https://scholar.google.com/citations?hl=en&user=eNr-L2YAAAAJ,Jan Kallsen,Albert-Ludwigs-Universität Freiburg im Breisgau ,1998
138,Ignacio Muga,Universidad de Chile, 2005,https://scholar.google.com/citations?hl=en&user=JblohmAAAAAJ,Jean-Claude Nédélec,Université Paris IV-Sorbonne ,1970
139,,,,,Mario Duran,École Polytechnique, 1996
140,Andrew Mugler,Columbia University ,2010,https://scholar.google.com/citations?hl=en&user=9CMEHHAAAAAJ,Chris H. Wiggins,Princeton University, 1998
141,Ramin Zahedi,Colorado State University,2013,https://scholar.google.com/citations?hl=en&user=CRfIwJAAAAAJ,Edwin Kah Pin Chong,Princeton University,1991
142,Sara Zahedi,Kungliga Tekniska Högskolan,2011,https://scholar.google.com/citations?hl=en&user=XnfTI_AAAAAJ,Gunilla Kreiss,Kungliga Tekniska Högskolan,1996
143,Mohammad Zaheri,Georgetown University ,2020,https://scholar.google.com/citations?hl=en&user=XtMoQx8AAAAJ,Adam O'Neill,georgia Institute of Technology,2010
144,Artem Zvavitch,Weizmann Institute of Science ,2001,https://scholar.google.com/citations?hl=en&user=nUk2TG0AAAAJ,Gideon Schechtman,Hebrew University of Jerusalem,1976
145,Dimitri Zvonkine,Université Paris-Sud XI - Orsay ,2003,https://scholar.google.com/citations?hl=en&user=Zc0oXlIAAAAJ,Jean-Michel Bismut,Université Pierre-et-Marie-Curie - Paris VI,1973
146,Radhika Niranjan Mysore,"University of California, San Diego",2013,https://scholar.google.com/citations?hl=en&user=jn6AJ00AAAAJ,M. Amin (Mohammad) Vahdat,"University of California, Berkeley",1998
147,Magnus O. Myreen,University of Cambridge ,2009,https://scholar.google.com/citations?hl=en&user=XfqNgKwAAAAJ,Michael J. C. Gordon,The University of Edinburgh ,1973
148,Dimitrios Myrisiotis,Imperial College London, 2021,https://scholar.google.com/citations?hl=en&user=BvR0TM8AAAAJ,Mahdi Cheraghchi,École Polytechnique Fédérale de Lausanne,2010
149,Margaryta Myronyuk,Institute for Low Temperature Physics and Engineering,2005,https://scholar.google.com/citations?hl=en&user=Abv-JZ0AAAAJ,Gennadiy Feldman,Institute for Low Temperature Physics and Engineering,1973
150,Sergii Myroshnychenko,Kent State University ,2017,https://scholar.google.com/citations?hl=en&user=S89MRxUAAAAJ,Dmitry Ryabogin, Hebrew University of Jerusalem ,2000
