,Root Author,Co Author,Scholar Link
173,Antonella Zanna,Arieh Iserles,https://scholar.google.com/citations?user=LG0OapQAAAAJ&hl=en&oe=ASCII
174,,Arvid Lundervold,https://scholar.google.com/citations?user=HqmyBUUAAAAJ&hl=en&oe=ASCII
175,,Mari Paz Calvo,https://scholar.google.com/citations?user=OyR1hoIAAAAJ&hl=en&oe=ASCII
176,,G R Quispel,https://scholar.google.com/citations?user=g0M8kywAAAAJ&hl=en&oe=ASCII
177,,Erik A. Hanson,https://scholar.google.com/citations?user=PkrPRQ8AAAAJ&hl=en&oe=ASCII
178,,Robert McLachlan,https://scholar.google.com/citations?user=O6FaL14AAAAJ&hl=en&oe=ASCII
179,,Hans Munthe-Kaas,https://scholar.google.com/citations?user=-oWmMI8AAAAJ&hl=en&oe=ASCII
180,,Jan Martin Nordbotten,https://scholar.google.com/citations?user=F_lzCfMAAAAJ&hl=en&oe=ASCII
181,,Elena Celledoni,https://scholar.google.com/citations?user=pM12kVoAAAAJ&hl=en&oe=ASCII
182,,Prof. Dr. Frank G. Zöllner,https://scholar.google.com/citations?user=m19sA2sAAAAJ&hl=en&oe=ASCII
183,,Jialin Hong,https://scholar.google.com/citations?user=O2ecg3oAAAAJ&hl=en&oe=ASCII
184,,Jan Modersitzki,https://scholar.google.com/citations?user=kjJlVk8AAAAJ&hl=en&oe=ASCII
185,,Stein Krogstad,https://scholar.google.com/citations?user=dEQyb5cAAAAJ&hl=en&oe=ASCII
186,,Geir Nævdal,https://scholar.google.com/citations?user=CtqY_U4AAAAJ&hl=en&oe=ASCII
187,,Francesco Fasso,https://scholar.google.com/citations?user=rEYH_RgAAAAJ&hl=en&oe=ASCII
188,,Kenth Engø-Monsen,https://scholar.google.com/citations?user=Lqv9nX8AAAAJ&hl=en&oe=ASCII
189,,Raymond Nepstad,https://scholar.google.com/citations?user=aOY7ehEAAAAJ&hl=en&oe=ASCII
190,,Richard A. Norton,https://scholar.google.com/citations?user=dOIA7wkAAAAJ&hl=en&oe=ASCII
191,,David McLaren,https://scholar.google.com/citations?user=YZzUfpMAAAAJ&hl=en&oe=ASCII
192,,Rolf Lorentzen,https://scholar.google.com/citations?user=pRIeoy4AAAAJ&hl=en&oe=ASCII
193,Laure Zanna,Eli Tziperman,https://scholar.google.com/citations?user=yu8-BNUAAAAJ&hl=en&oe=ASCII
194,,Christopher H. O'Reilly,https://scholar.google.com/citations?user=MFjmrS8AAAAJ&hl=en&oe=ASCII
195,,Thomas Bolton,https://scholar.google.com/citations?user=xV_olPQAAAAJ&hl=en&oe=ASCII
196,,Jonathan Gregory,https://scholar.google.com/citations?user=inWNgvsAAAAJ&hl=en&oe=ASCII
197,,Patrick Heimbach,https://scholar.google.com/citations?user=FGh1UOgAAAAJ&hl=en&oe=ASCII
198,,Markus B. Huber,https://scholar.google.com/citations?user=TlFOHvgAAAAJ&hl=en&oe=ASCII
199,,David P. Marshall,https://scholar.google.com/citations?user=af5a0RIAAAAJ&hl=en&oe=ASCII
200,,Ben Bronselaer,https://scholar.google.com/citations?user=pygyCfkAAAAJ&hl=en&oe=ASCII
201,,James A. Anstey,https://scholar.google.com/citations?user=Lduor5UAAAAJ&hl=en&oe=ASCII
202,,Stephan Juricke,https://scholar.google.com/citations?user=xovVIDsAAAAJ&hl=en&oe=ASCII
203,,Aneesh Subramanian,https://scholar.google.com/citations?user=GpwXhsoAAAAJ&hl=en&oe=ASCII
204,,Lijing Cheng,https://scholar.google.com/citations?user=XzerSxgAAAAJ&hl=en&oe=ASCII
205,,Surendra Adhikari,https://scholar.google.com/citations?user=z88o5DgAAAAJ&hl=en&oe=ASCII
206,,Lambert Caron,https://scholar.google.com/citations?user=m1EA2WQAAAAJ&hl=en&oe=ASCII
207,,Thomas Frederikse,https://scholar.google.com/citations?user=XINrU3UAAAAJ&hl=en&oe=ASCII
208,,Sönke Dangendorf,https://scholar.google.com/citations?user=Ir183YAAAAAJ&hl=en&oe=ASCII
209,,Felix W Landerer,https://scholar.google.com/citations?user=T5X1n84AAAAJ&hl=en&oe=ASCII
210,,Vincent Humphrey,https://scholar.google.com/citations?user=qQ5gfu4AAAAJ&hl=en&oe=ASCII
211,,Oleg Saenko,https://scholar.google.com/citations?user=OpHvuGkAAAAJ&hl=en&oe=ASCII
212,,Matthew Couldrey,https://scholar.google.com/citations?user=bhL5kgMAAAAJ&hl=en&oe=ASCII
213,Bilal Zafar,Martin Haardt,https://scholar.google.com/citations?user=h8MtCjsAAAAJ&hl=en&oe=ASCII
214,,Florian Roemer,https://scholar.google.com/citations?user=mW5YRwsAAAAJ&hl=en&oe=ASCII
215,Hamim Zafar,Luay Nakhleh,https://scholar.google.com/citations?user=46HLWf8AAAAJ&hl=en&oe=ASCII
216,,Nicholas Navin,https://scholar.google.com/citations?user=e4mp7GoAAAAJ&hl=en&oe=ASCII
